AncientComponent1,AncientComponent2,AncientComponent3,AncientComponent4,AncientComponent5,ModernComponent1,ModernComponent2,ModernComponent3,DateBP,Sample ID,Country
0.091703,0.087711,0.027075,0.058115,0.016063,0.008929,0.692799,0.017604,10,NA12058,CEU
0.003413,0.033717,0.023511,0.010822,1.00E-05,0.008126,0.099368,0.821033,10,NA18602,CHB
0.087826,0.096581,0.028252,0.0506,0.00296,0.005491,0.706351,0.021939,10,NA12775,CEU
0.165938,0.057887,0.005692,0.041829,0.018257,0.017385,0.661165,0.031847,10,HG02220,IBS
1.00E-05,0.030065,0.02923,0.00272,0.002584,0.007906,0.090536,0.83695,10,HG00406,CHS
0.001627,0.035345,0.021969,0.005178,0.001357,0.009137,0.092202,0.833185,10,HG00421,CHS
0.001564,0.026808,0.017435,0.001871,1.00E-05,0.000729,0.063964,0.887618,10,NA18532,CHB
1.00E-05,0.030978,0.012507,0.001404,1.00E-05,0.000928,0.067606,0.886556,10,NA18546,CHB
0.002847,0.032122,0.023225,0.005459,1.00E-05,0.007598,0.090974,0.837766,10,NA18603,CHB
1.00E-05,0.033264,0.024887,0.012208,1.00E-05,0.008583,0.097048,0.823989,10,HG00419,CHS
1.00E-05,0.029061,0.005094,0.007004,1.00E-05,0.002569,0.068146,0.888106,10,NA18526,CHB
1.00E-05,0.025283,0.011475,1.00E-05,0.003647,0.0042,0.084228,0.871146,10,NA18528,CHB
0.000109,0.02903,0.006938,0.0013,1.00E-05,0.001777,0.07738,0.883455,10,NA18530,CHB
0.000787,0.033961,0.008845,0.002571,0.003865,0.001981,0.076475,0.871515,10,NA18531,CHB
0.000743,0.034105,0.010756,0.004817,1.00E-05,0.001669,0.070618,0.877282,10,NA18537,CHB
1.00E-05,0.024548,0.014211,0.006912,1.00E-05,0.002638,0.064262,0.887409,10,NA18549,CHB
1.00E-05,0.021041,0.015744,0.004299,0.001925,0.002839,0.077468,0.876673,10,NA18550,CHB
0.001047,0.024398,0.010926,0.00218,1.00E-05,0.001269,0.070933,0.889237,10,NA18557,CHB
0.000711,0.022782,0.009338,0.003068,0.003565,0.002566,0.069753,0.888217,10,NA18560,CHB
0.004215,0.034532,0.02327,0.0141,1.00E-05,0.005366,0.089282,0.829224,10,NA18595,CHB
0.001476,0.038137,0.022976,0.006806,1.00E-05,0.006349,0.090527,0.83372,10,NA18624,CHB
1.00E-05,0.030104,0.0159,0.009376,0.003076,0.010166,0.098186,0.833183,10,HG00407,CHS
0.001493,0.032188,0.018736,0.01212,0.003093,0.008952,0.093477,0.829942,10,HG00428,CHS
0.161307,0.04829,0.009713,0.051787,0.028965,0.013932,0.655629,0.030378,10,HG01776,IBS
0.00166,0.032909,0.017479,0.006958,1.00E-05,0.008619,0.101726,0.830639,10,NA18622,CHB
0.002165,0.035477,0.022418,0.001601,1.00E-05,0.008602,0.097058,0.832669,10,NA18625,CHB
0.00177,0.029044,0.022497,0.015279,1.00E-05,0.008584,0.091607,0.831209,10,NA18634,CHB
1.00E-05,0.032871,0.030774,0.003489,1.00E-05,0.00935,0.101798,0.821698,10,NA18638,CHB
